更新时间: 2026-07-20 18:35:41（北京时间）

更新时间,#genre#
2026-07-20 18:35:41,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
湖南卫视,http://220.184.214.138:9999/rtp/233.50.200.190:5140$浙江省电信
湖南卫视,http://220.184.214.138:9999/rtp/233.50.201.103:5140$浙江省电信
湖南卫视,http://220.184.214.138:9999/rtp/233.50.202.106:5140$浙江省电信
湖南卫视,http://222.141.237.151:8003/rtp/225.1.4.82:1111$河南省联通
湖南卫视,http://27.10.78.144:8007/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.10.78.144:8007/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://27.10.78.144:8008/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.10.78.144:8008/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://27.10.78.144:8010/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.10.78.144:8010/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://36.101.3.142:554/rtp/239.253.64.114:5140$海南省电信
湖南卫视,http://39.77.159.145:4000/udp/239.253.254.82:8000$山东省联通
浙江卫视,http://112.255.235.152:4000/udp/239.253.254.84:8000$山东省联通
浙江卫视,http://115.58.50.183:7001/rtp/225.1.4.84:1113$河南省联通
浙江卫视,http://118.79.119.170:8000/rtp/226.0.2.144:9064$山西省联通
浙江卫视,http://171.212.170.157:8088/rtp/239.94.0.118:5140$四川省电信
浙江卫视,http://171.212.170.157:8088/rtp/239.94.0.63:5140$四川省电信
浙江卫视,http://171.213.169.179:8899/rtp/239.94.0.118:5140$四川省电信
浙江卫视,http://171.213.169.179:8899/rtp/239.94.0.63:5140$四川省电信
浙江卫视,http://180.158.97.153:9998/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://180.158.97.153:9998/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://220.184.214.138:9999/rtp/233.50.200.145:5140$浙江省电信
浙江卫视,http://220.184.214.138:9999/rtp/233.50.200.231:5140$浙江省电信
浙江卫视,http://220.184.214.138:9999/rtp/233.50.201.100:5140$浙江省电信
浙江卫视,http://220.184.214.138:9999/rtp/233.50.202.104:5140$浙江省电信
浙江卫视,http://222.141.237.151:8003/rtp/225.1.4.84:1113$河南省联通
浙江卫视,http://27.10.78.144:8007/rtp/225.0.4.105:7980$重庆市联通
